"osid","itemid","itemqty","purrate","itemmrp","itemsalerate","entrydate","empid"
"OS1-18972","12096","1.00","90.00","155.00","140.00","2023-05-02","133"
"OS1-18973","1877","1.00","30.50","34.00","34.00","2023-05-02","133"
"OS1-18974","916","30.00","17.20","20.00","19.00","2023-05-02","131"
"OS1-18975","6549","10.00","5.67","10.00","6.00","2023-05-02","133"
"OS1-18976","14049","1.00","0.00","30.00","28.00","2023-05-02","133"
"OS1-18977","6595","2.00","35.35","55.00","43.00","2023-05-02","133"
"OS1-18978","3243","2.00","0.01","39.00","33.00","2023-05-02","133"
"OS1-18979","100","2.00","20.00","65.00","30.00","2023-05-02","133"
"OS1-18980","911","2.00","34.40","40.00","38.00","2023-05-02","133"
"OS1-18981","2213","1.00","68.80","80.00","76.00","2023-05-02","133"
"OS1-18982","6146","1.00","6.58","95.00","15.00","2023-05-02","131"
"OS1-18983","5978","4.00","36.25","65.00","48.00","2023-05-02","131"
"OS1-18984","2901","1.00","80.73","115.00","91.00","2023-05-02","131"
"OS1-18985","2003","1.00","169.11","195.00","179.00","2023-05-02","133"
"OS1-18986","11560","1.00","87.00","149.00","99.00","2023-05-02","133"
"OS1-18987","6141","2.00","60.35","75.00","68.00","2023-05-02","133"
"OS1-18988","8819","2.00","60.00","149.00","74.50","2023-05-02","133"
"OS1-18989","75","1.00","75.00","85.00","82.00","2023-05-02","133"
"OS1-18990","8554","1.00","50.00","95.00","69.00","2023-05-02","133"
"OS1-18991","6634","1.00","95.00","135.00","105.00","2023-05-02","133"
"OS1-18992","8554","1.00","50.00","95.00","69.00","2023-05-02","133"
"OS1-18993","2903","1.00","77.21","110.00","88.00","2023-05-02","133"
"OS1-18994","5946","6.00","50.00","75.00","65.00","2023-05-02","133"
"OS1-18995","7133","1.00","60.00","100.00","80.00","2023-05-02","133"
"OS1-18996","13346","1.00","74.25","99.00","89.00","2023-05-02","133"
"OS1-18997","100","10.00","20.00","65.00","30.00","2023-05-02","204"
