"purdetSNo","purid","purbillno","itemid","puritemqty","purrate","itemmrp","itemcustomcode","itemsalerate","itemtaxid"
"8364","1017",NULL,"5914","14.00","138.00","205.00",NULL,"148.00","GSTNIL"
"8365","1017",NULL,"5915","29.00","69.00","95.00",NULL,"78.00","GSTNIL"
"8349","1016",NULL,"5934","60.00","52.50","75.00",NULL,"63.00","GSTNIL"
"8350","1016",NULL,"6546","15.00","62.00","110.00",NULL,"72.00","GSTNIL"
"8351","1016",NULL,"6079","30.00","31.00","65.00",NULL,"38.00","GSTNIL"
"8352","1016",NULL,"6448","15.00","68.00","95.00",NULL,"80.00","GSTNIL"
"8353","1016",NULL,"6449","30.00","34.00","55.00",NULL,"43.00","GSTNIL"
"8354","1016",NULL,"6142","15.00","120.00","145.00",NULL,"130.00","GSTNIL"
"8355","1016",NULL,"6141","30.00","60.00","75.00",NULL,"68.00","GSTNIL"
"8356","1016",NULL,"5914","1.00","138.00","205.00",NULL,"148.00","GSTNIL"
"8357","1016",NULL,"5915","1.00","69.00","95.00",NULL,"78.00","GSTNIL"
"8346","1015",NULL,"7910","40.00","157.50","255.00",NULL,"170.00","GST5"
"8347","1015",NULL,"6405","25.00","54.00","95.00",NULL,"65.00","GST12"
"8348","1015",NULL,"7622","20.00","312.50","495.00",NULL,"345.00","GST5"
"8339","1014",NULL,"5920","40.00","115.00","145.00",NULL,"125.00","GST5"
"8340","1014",NULL,"6558","100.00","37.50","60.00",NULL,"48.00","GST5"
"8341","1014",NULL,"6557","50.00","15.00","25.00",NULL,"22.00","GST5"
"8342","1014",NULL,"7632","50.00","11.00","30.00",NULL,"18.00","GST5"
"8324","1013",NULL,"6111","60.00","163.50","195.00",NULL,"180.00","GSTNIL"
"8325","1013",NULL,"6142","30.00","120.70","145.00",NULL,"130.00","GSTNIL"
"8326","1013",NULL,"6141","60.00","60.35","75.00",NULL,"68.00","GSTNIL"
"8327","1013",NULL,"5927","60.00","100.70","135.00",NULL,"110.00","GSTNIL"
"8328","1013",NULL,"5929","15.00","100.70","135.00",NULL,"115.00","GSTNIL"
"8329","1013",NULL,"5930","30.00","50.35","75.00",NULL,"63.00","GSTNIL"
"8330","1013",NULL,"6546","15.00","60.70","110.00",NULL,"70.00","GSTNIL"
"8331","1013",NULL,"6079","30.00","30.35","65.00",NULL,"38.00","GSTNIL"
"8332","1013",NULL,"6065","20.00","80.35","99.00",NULL,"92.00","GSTNIL"
"8333","1013",NULL,"5932","15.00","90.70","135.00",NULL,"102.00","GSTNIL"
"8334","1013",NULL,"6628","30.00","45.35","75.00",NULL,"52.00","GSTNIL"
"8335","1013",NULL,"5931","20.00","80.35","105.00",NULL,"92.00","GSTNIL"
"8336","1013",NULL,"94","20.00","47.85","70.00",NULL,"58.00","GSTNIL"
"8317","1012",NULL,"102","50.00","152.50","195.00",NULL,"170.00","GSTNIL"
"8318","1012",NULL,"6699","2.00","1209.00","1850.00",NULL,"1261.00","GSTNIL"
"8319","1012",NULL,"5943","150.00","42.00","62.00",NULL,"48.00","GSTNIL"
"8320","1012",NULL,"6052","50.00","50.00","85.00",NULL,"58.00","GSTNIL"
"8321","1012",NULL,"5958","50.00","62.00","85.00",NULL,"68.00","GSTNIL"
"8322","1012",NULL,"6105","52.00","50.00","70.00",NULL,"58.00","GSTNIL"
"8314","1011",NULL,"6546","15.00","64.70","110.00",NULL,"75.00","GSTNIL"
"8315","1011",NULL,"6079","30.00","32.35","65.00",NULL,"40.00","GSTNIL"
"8313","1010",NULL,"5961","100.00","61.51","80.00",NULL,"78.00","GST5"
"8310","1009",NULL,"11857","40.00","220.00","380.00",NULL,"265.00","GST5"
"8311","1009",NULL,"8238","40.00","175.00","245.00",NULL,"195.00","GST5"
"8303","1008",NULL,"11746","6.00","522.00","500.00",NULL,"575.00","GST5"
"8304","1008",NULL,"11745","6.00","1045.00","500.00",NULL,"1120.00","GST5"
"8305","1008",NULL,"8237","40.00","155.00","235.00",NULL,"185.00","GST5"
"8306","1008",NULL,"6444","40.00","130.00","175.00",NULL,"155.00","GST5"
"8272","1007",NULL,"6111","60.00","168.50","195.00",NULL,"180.00","GSTNIL"
"8273","1007",NULL,"6448","45.00","70.70","95.00",NULL,"80.00","GSTNIL"
"8274","1007",NULL,"6449","30.00","35.35","55.00",NULL,"43.00","GSTNIL"
"8275","1007",NULL,"5916","45.00","73.70","115.00",NULL,"86.00","GSTNIL"
"8276","1007",NULL,"5917","30.00","36.85","65.00",NULL,"46.00","GSTNIL"
"8277","1007",NULL,"5918","30.00","105.70","135.00",NULL,"117.00","GSTNIL"
"8278","1007",NULL,"5919","60.00","52.85","75.00",NULL,"62.00","GSTNIL"
"8279","1007",NULL,"5929","15.00","110.70","135.00",NULL,"121.00","GSTNIL"
